Title,Author,My Rating,Binding,Date Read,Status,Genre,Read Count,Number of Pages
"The American Roommate Experiment (Spanish Love Deception, #2)",Elena  Armas,3,ebook,"September 16, 2022",read,"Adult, contemporary, fiction, romance",1,406
"The Score (Off-Campus, #3)",Elle Kennedy,4.5,ebook,"November 9, 2021",read,"Adult, contemporary, fiction, romance, sports",1,361
Normal People,Sally Rooney,2,Paperback,"June 16, 2024",read,"Adult, contemporary, fiction, literary fiction",1,273
"Peaches & Honey: These Immortal Truths (Peaches and Honey, #1)",R. Raeta,0,Paperback,,,,0,320
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Mark Wolynn,0,Hardcover,,,,0,256
The Year After You,Nina de Pass,2.5,Hardcover,"June 7, 2024",read,"YA, contemporary, fiction, romance",1,274
"Promised in Fire (Of Dragons and Fae, #1)",Jasmine Walt,0,Paperback,,,,0,414
"Heavenly Bodies (Heavenly Bodies, #1)",Imani Erriu,0,Paperback,,,,0,619
"A Dawn of Onyx (The Sacred Stones, #1)",Kate  Golden,0,Paperback,,,,0,432
A Liar's Twisted Tongue (The Fated Blood Trilogy #1),Caroline Cusanelli,0,Paperback,,,,0,451
"The Prisoner’s Throne (The Stolen Heir Duology, #2)",Holly Black,3,ebook,"June 4, 2024",read,"YA, fantasy, fiction, romance",1,359
The Stolen Heir (The Stolen Heir Duology #1),Holly Black,4,ebook,"June 1, 2024",read,"YA, fantasy, fiction, romance",1,11
"The Way I Used to Be (The Way I Used to Be, #1)",Amber   Smith,0,,,,,0,385
"Rebel Witch (The Crimson Moth, #2)",Kristen Ciccarelli,4,ebook,"February 18, 2025 → February 21, 2025",read,"YA, fantasy, fiction, romance",1,464
"Heartless Hunter (The Crimson Moth, #1)",Kristen Ciccarelli,4,ebook,"May 29, 2024",read,"YA, fantasy, fiction, romance",1,406
How to End a Love Story,Yulin Kuang,0,Paperback,,,,0,384
"My Fault (Culpable, #1)",Mercedes Ron,3,Paperback,"June 16, 2023",read,"Adult, YA, contemporary, fiction, romance",1,416
"A Broken Blade (The Halfling Saga, #1)",Melissa Blair,0,,,,,0,427
"Sinners Consumed (Sinners Anonymous, #3)",Somme Sketcher,3,ebook,"May 26, 2024",read,"Adult, contemporary, dark, fiction, romance",1,319
"Part of Your World (Part of Your World, #1)",Abby Jimenez,0,Paperback,,,,0,389
"Sinners Condemned (Sinners Anonymous, #2)",Somme Sketcher,4,ebook,"May 25, 2024",read,"Adult, contemporary, dark, fiction, romance",1,316
Pride and Prejudice,Jane Austen,4,Hardcover,"January 10, 2024 → May 23, 2024","read, ♡","classics, fiction, historical",1,279
No Longer Human,Osamu Dazai,3,ebook,"September 19, 2021",dnf,,1,176
"A RomaJuliette Christmas Special (These Violent Delights, #0.5)",Chloe Gong,4,ebook,"January 29, 2021",read,"YA, fantasy, fiction, historical, romance",1,27
"The Dragon Republic (The Poppy War, #2)",R.F. Kuang,4,ebook,"April 23, 2022",read,"Adult, YA, fantasy, fiction, historical",1,658
"Vow of Thieves (Dance of Thieves, #2)",Mary E. Pearson,4,ebook,"June 8, 2020",read,"YA, fantasy, fiction, romance",1,480
"Dance of Thieves (Dance of Thieves, #1)",Mary E. Pearson,4,ebook,"June 6, 2020",read,"YA, fantasy, fiction, romance",1,512
"Wildcard (Warcross, #2)",Marie Lu,4,Hardcover,"May 25, 2019",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,352
"Warcross (Warcross, #1)",Marie Lu,4,Hardcover,"June 21, 2018",read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,353
"Daughter of the Pirate King (Daughter of the Pirate King, #1)",Tricia Levenseller,4,ebook,"July 24, 2020",read,"YA, fantasy, fiction, romance",1,308
"Fire Falling (Air Awakens, #2)",Elise Kova,4,ebook,"July 4, 2020",read,"YA, fantasy, fiction, romance",1,378
"The Wicked King (The Folk of the Air, #2)",Holly Black,4,ebook,"January 1, 2020","read, ♡","YA, fantasy, fiction, romance",1,336
"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,4,ebook,"January 1, 2020",read,"YA, fantasy, fiction, romance",1,321
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4,ebook,"January 1, 2020",read,"YA, fantasy, fiction, romance",1,370
"Stars Above (The Lunar Chronicles, #4.5)",Marissa Meyer,4,Hardcover,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,400
"Avenged (Ruined, #2)",Amy Tintera,3,ebook,"July 22, 2019",read,"YA, fantasy, fiction, romance",1,412
"Ruined (Ruined, #1)",Amy Tintera,3,ebook,"June 19, 2019",read,"YA, fantasy, fiction, romance",1,355
"The Favorite (The Selection, #2.6)",Kiera Cass,3,Paperback,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,58
"Cinder & Ella (Cinder & Ella, #1)",Kelly Oram,4,ebook,"September 4, 2021",read,"YA, contemporary, romance",1,254
"The Guard (The Selection, #2.5)",Kiera Cass,3,Paperback,,read,"YA, dystopia, fantasy, fiction, romance",1,64
"Red Queen (Red Queen, #1)",Victoria Aveyard,4,Hardcover,,read,"YA, dystopia, fiction, romance, science fiction",1,388
"The Prince (The Selection, #0.5)",Kiera Cass,4,Paperback,,read,"YA, dystopia, fantasy, fiction, romance",1,64
"The One (The Selection, #3)",Kiera Cass,4,Paperback,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,323
"The Elite (The Selection, #2)",Kiera Cass,4,Paperback,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,336
"The Selection (The Selection, #1)",Kiera Cass,4,Paperback,,read,"YA, dystopia, fantasy, fiction, romance, science fiction",1,336
"Six Crimson Cranes (Six Crimson Cranes, #1)",Elizabeth Lim,4,ebook,"March 7, 2022",read,"YA, fantasy, fiction, romance",1,454
"The Bridge Kingdom (The Bridge Kingdom, #1)",Danielle L. Jensen,4,ebook,"June 23, 2020",read,"Adult, fantasy, fiction, romance",1,354
"The Traitor Queen (The Bridge Kingdom, #2)",Danielle L. Jensen,4,ebook,"June 24, 2020",read,"Adult, fantasy, fiction, romance",1,10
"Blood & Steel (The Legends of Thezmarr, #1)",Helen Scheuerer,2,ebook,"May 21, 2024",read,"Adult, fantasy, fiction, romance",1,550
"Untitled (The Empyrean, #4)",Rebecca Yarros,0,Hardcover,,,,0,0
"Full Measures (Flight & Glory, #1)",Rebecca Yarros,0,,,,,0,374
The Paradise Problem,Christina Lauren,0,Hardcover,,,,0,352
"A Curse for True Love (Once Upon a Broken Heart, #3)",Stephanie Garber,4,ebook,"May 1, 2024 → May 3, 2024",read,"YA, fantasy, fiction, romance",1,386
"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,4,ebook,"April 29, 2024 → May 1, 2024","read, ♡","YA, fantasy, fiction, romance",1,416
"Savage Lands (Savage Lands, #1)",Stacey Marie Brown,2,ebook,"April 29, 2024",read,"Adult, dystopia, fantasy, romance",1,423
"Powerful (The Powerless Trilogy, #1.5)",Lauren  Roberts,5,ebook,"April 27, 2024 → April 28, 2024",read,"YA, fantasy, fiction, romance",1,272
"Lakefront Billionaires 3 (Lakefront Billionaires, #3)",Lauren Asher,0,,,,,0,500
"Love Redesigned (Lakefront Billionaires, #1)",Lauren Asher,3,ebook,"April 25, 2024 → April 27, 2024",read,"Adult, contemporary, fiction, romance",1,530
"Ruthless Vows (Letters of Enchantment, #2)",Rebecca   Ross,3,ebook,"April 17, 2024 → April 23, 2024",read,"YA, fantasy, fiction, historical, romance",1,420
A Crane Among Wolves,June Hur,0,,,,,0,364
"The Big A.S.S. Party (Zodiac Academy, #5.5)",Caroline Peckham,1,ebook,"February 12, 2022",read,"Adult, fantasy, romance",1,98
"Destroy the Day (Defy the Night, #3)",Brigid Kemmerer,3,ebook,"April 4, 2024 → April 7, 2024",read,"YA, dystopia, fantasy, fiction, romance",1,550
"Defend the Dawn (Defy the Night, #2)",Brigid Kemmerer,3,ebook,"March 31, 2024 → April 2, 2024",read,"YA, dystopia, fantasy, fiction, romance",1,448
"A Fate Inked in Blood (Saga of the Unfated, #1)",Danielle L. Jensen,0,Hardcover,,,,0,419
You're That Bitch: And Other Lessons About Being Unapologetically Yourself,Bretman Rock,3,ebook,"January 19, 2024 → January 27, 2024",read,"biography, memoir, nonfiction, self help",1,272
"Bone Crier's Moon (Bone Grace, #1)",Kathryn Purdie,3,ebook,"July 15, 2020",read,"YA, fantasy, fiction, romance",1,480
"Little Women (Little Women, #1)",Louisa May Alcott,0,,,,,0,449
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,0,Hardcover,,,,0,374
Sense and Sensibility,Jane Austen,0,Paperback,,,,0,409
White Nights,Fyodor Dostoevsky,0,Paperback,,,,0,82
The Sword of Kaigen,M.L. Wang,0,,,,,0,651
A Sea of Blood and Sapphire (The Crystal Seas),Florence   Gray,0,,,,,0,472
The Woman in Me,Britney Spears,3,Audiobook,"September 22, 2025 → September 25, 2025",read,"Adult, biography, memoir, nonfiction",1,288
"The Book That Wouldn’t Burn (The Library Trilogy, #1)",Mark  Lawrence,0,Hardcover,,,,0,559
"Meet Me in the Ether (Meet Me in the Ether, #1)",Iris Lake,0,,,,,0,0
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,0,Hardcover,,,,0,333
"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,5,Hardcover,"June 24, 2023","read, ♡","YA, fantasy, fiction, romance",2,523
"Twisted Lies (Twisted, #4)",Ana Huang,4,ebook,"July 11, 2022","read, ♡","Adult, contemporary, dark, fiction, romance",1,530
"Terms and Conditions  (Dreamland Billionaires, #2)",Lauren Asher,4,ebook,"March 2, 2022","read, ♡","Adult, contemporary, fiction, romance",1,435
"Divine Rivals (Letters of Enchantment, #1)",Rebecca   Ross,4,ebook,"October 13, 2023",read,"YA, fantasy, fiction, historical, romance",1,357
Heaven,Mieko Kawakami,0,Hardcover,,,,0,192
One Last Rainy Day: The Legacy of a Prince,Kate  Stewart,0,,,,,0,0
"A Court This Cruel & Lovely (Kingdom of Lies, #1)",Stacia Stark,0,,,,,0,562
"Dark Shores (Dark Shores, #1)",Danielle L. Jensen,3,Hardcover,"September 12, 2020",read,"YA, fantasy, fiction, romance",1,368
"Cross My Heart (The Oxford Legacy, #1)",Roxy Sloane,0,,,,,0,294
"The Roommate (The Shameless Series, #1)",Rosie Danan,3,ebook,"October 27, 2022",read,"Adult, contemporary, fiction, romance",1,325
The Last Letter,Rebecca Yarros,0,Paperback,,,,0,426
The Broken Note (Redwood Kings #3),Nelia Alarcon,2,ebook,"August 30, 2023",read,"YA, contemporary, dark, fantasy, romance",1,404
The Darkest Note (Redwood Kings #1),Nelia Alarcon,3,ebook,"August 27, 2023",read,"YA, contemporary, dark, fantasy, romance",1,325
The Ruthless Note (Redwood Kings #2),Nelia Alarcon,3,ebook,"August 28, 2023",read,"Adult, contemporary, dark, fiction, romance",1,380
"The Predator (Dark Verse, #1)",RuNyx,2,ebook,"August 20, 2023",read,"Adult, contemporary, crime, dark, fiction, mystery, romance",1,318
"The Bonds We Break (The Four, #5)",Becca Steele,3,ebook,"August 4, 2023",read,"Adult, contemporary, dark, fiction, mystery, romance",1,270
